Agente Financeiro;CPF/CNPJ do Contratante;Nome / Razão Social;UF;Município; Valor Contratado ;Data Início do Contrato;Data Fim do Contrato;Prazo (Meses);Carência (Meses);Spread Bancário;Fin. Taxa de Atualização Monetária;Finalidade do Financiamento;Atividade Turística;Porte da Empresa;CNAE;Descrição CNAE
BANCO MONEO S.A.;3250640000148;MICHELON TRANSPORTADORA TURISTICA LTDA.;DF;BRASÍLIA; R$ 875.000,00 ;30/01/2026;21/01/2031;60;;5;INPC;BEM;AGÊNCIA DE TURISMO;MICROEMPRESA;4929903;ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, MUNICIPAL
CRESOL SICOPER - CENTRAL CRESOL SICOPER;1205128000154;SAVEGNAGO VIAGENS E TURISMO LTDA;RS;CONDOR; R$ 500.000,00 ;23/01/2026;15/12/2035;117;2;5;INPC;CAPITAL GIRO;AGÊNCIA DE TURISMO;PEQUENA_EMPRESA;4929904;ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;31035525000196;VINDS HOTEL IPATINGA LTDA;MG;IPATINGA; R$ 79.058,00 ;23/01/2026;09/01/2030;48;;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;PEQUENA_EMPRESA;5510801;HOTÉIS
BANCO DO NORDESTE DO BRASIL SA;21425214000180;BARRETO COMBUSTIVEIS LTDA;SE;NOSSA SENHORA DA GLÓRIA; R$ 1.200.000,00 ;28/01/2026;28/01/2033;84;13;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;MEDIA_EMPRESA;5510801;HOTÉIS
BANCO DO NORDESTE DO BRASIL SA;4443021000132;EUROPA INVESTIMENTOS LTDA;PI;TERESINA; R$ 2.000.000,00 ;26/01/2026;26/01/2036;120;120;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;MEDIA_EMPRESA;5510801;HOTÉIS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;16620727000101;GERALDO F GONCALVES FILHO  LTDA;AL;PÃO DE AÇÚCAR; R$ 300.000,00 ;08/01/2026;15/12/2034;84;23;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;MICROEMPRESA;5510801;HOTÉIS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;38188588000121;SILVA PINTO HOTEL LTDA;BA;CONCEIÇÃO DO COITÉ; R$ 165.000,00 ;05/01/2026;15/11/2028;33;1;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;MICROEMPRESA;5510801;HOTÉIS
CRESOL SICOPER - CENTRAL CRESOL SICOPER;3646945000173;VILA VENTURA HOTEIS LTDA;RS;VIAMÃO; R$ 400.000,00 ;09/01/2026;15/01/2031;54;7;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;MEDIA_EMPRESA;5510801;HOTÉIS
CRESOL SICOPER - CENTRAL CRESOL SICOPER;54379280000110;ALTOPIANO AGRONEGOCIOS LTDA;SC;SÃO JOAQUIM; R$ 510.500,00 ;30/01/2026;15/01/2032;72;1;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;PEQUENA_EMPRESA;5510801;HOTÉIS
CRESOL SICOPER - CENTRAL CRESOL SICOPER;36855388000150;BRUNO EDUARDO RADUN;SC;URUBICI; R$ 100.000,00 ;30/01/2026;15/04/2032;64;10;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;MICROEMPRESA;5510801;HOTÉIS
DESENVOLVE SP - AGENCIA DE FOMENTO DO ESTADO DE SAO PAULO S.A.;4823123000183;ESTANCIA SANTA CLARA LTDA;SP;IBIÚNA; R$ 10.000.000,00 ;14/01/2026;05/02/2036;120;24;5;INPC;BEM OBRA;MEIO DE HOSPEDAGEM;GRANDE_EMPRESA;5510801;HOTÉIS
CRESOL SICOPER - CENTRAL CRESOL SICOPER;32547541000120;32.547.541 ANA JULIA WAGNER BRINGMANN;RS;VALE DO SOL; R$ 100.000,00 ;09/01/2026;15/12/2035;117;2;5;INPC;CAPITAL GIRO;ACAMPAMENTO TURÍSTICO;MICROEMPRESA;5590602;CAMPINGS
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER;41330661000162;KAREN EDUARDA DE SOUZA RAIMUNDO 11792152906;PR;RONCADOR; R$ 20.000,00 ;23/01/2026;15/04/2027;12;2;5;INPC;CAPITAL GIRO;MEIO DE HOSPEDAGEM;MICROEMPRESA;5590699;OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
AGENCIA DE FOMENTO DO AMAPA S/A;37379766000139;DELICIAS DA OCI LTDA;AP;MACAPÁ; R$ 390.000,00 ;01/01/2026;16/12/2035;120;24;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
AGENCIA DE FOMENTO DO AMAPA S/A;32382452000171;L. C. TORK;AP;MACAPÁ; R$ 390.000,00 ;29/01/2026;29/05/2035;113;24;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S. A.;6237071000199;CONFEITARIA 16 DE MARCO LTDA;RJ;PETRÓPOLIS; R$ 150.000,00 ;14/01/2026;05/02/2031;60;6;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;37422499000135;H A FELHAUER CANTINHO DA PIZZA II;TO;PALMAS; R$ 52.083,33 ;12/01/2026;12/12/2029;42;6;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
AGENCIA DE FOMENTO DO PARANA S.A.;44175410000149;HOP CLUB BEER AND FOOD RESTAURANTE LTDA;PR;CURITIBA; R$ 90.000,00 ;23/01/2026;10/01/2030;45;3;4,88;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
AGENCIA DE FOMENTO E DESENVOLVIMENTO DO ESTADO DO PIAUI S.A.;55706849000177;F F DA COSTA JUNIOR LTDA;PI;PARNAÍBA; R$ 88.021,50 ;02/02/2026;02/02/2030;48;2;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;MICROEMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;7654709000150;CANTINA MINEIRA RESTAURANTE E PIZZARIA LTDA;MG;BELO HORIZONTE; R$ 132.000,00 ;06/01/2026;31/12/2029;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;45737650000152;BAR, LANCHONETE E RESTAURANTE BOCAIUVA LTDA;MG;BELO HORIZONTE; R$ 47.759,00 ;13/01/2026;09/01/2030;48;;5;INPC;CAPITAL GIRO;RESTAURANTE, CAFETERIA, BAR E SIMILARES;PEQUENA_EMPRESA;5611201;RESTAURANTES E SIMILARES
